Clique number;Diameter;Edge connectivity;Matching number;Planar ;Radius;Vertex connectivity;Largest L-eigenvalue ;Second largest Eigenvalue;Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Group Size;Domination number;Independence number;Chromatic Index
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.5374900;2.7472000;-2.5374900;0.2528000;3.0000000;5.0000000;1.0000000;9.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.5298300;2.7452900;-2.5298300;0.2547100;3.0000000;5.0000000;1.0000000;9.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.6419700;2.7056500;-2.6419700;0.2943500;3.0000000;5.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.5847800;2.7475800;-2.5847800;0.2524200;3.0000000;5.0000000;1.0000000;9.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.7012100;2.7241800;-2.7012100;0.2758200;3.0000000;5.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.6908900;2.7251100;-2.6908900;0.2748900;3.0000000;5.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.6338200;2.6923100;-2.6338200;0.3076900;3.0000000;4.0000000;1.0000000;9.0000000;13.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.7013100;2.7047300;-2.7013100;0.2952700;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.7085500;2.7243100;-2.7085500;0.2756900;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.7107400;2.7232200;-2.7107400;0.2767800;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.6934900;2.7235400;-2.6934900;0.2764600;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;5.0000000;3.0000000;5.6863100;2.7230700;-2.6886310;0.2769300;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.7231100;2.7274800;-2.7231100;0.2725200;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
2.0000000;6.0000000;3.0000000;16.0000000;0.0000000;4.0000000;3.0000000;5.8083100;2.7273100;-2.8083100;0.2726900;3.0000000;4.0000000;1.0000000;9.0000000;14.0000000;4.0000000
