Clique number;Diameter;Edge connectivity;Matching number;Planar ;Radius;Vertex connectivity;Largest L-eigenvalue ; Second largest Eigenvalue;Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Group Size;Domination number;Independence number;Chromatic Index
2.0000000;5.0000000;3.0000000;17.0000000;1.0000000;6.0000000;3.0000000;5.5950000;2.6450000;-2.5950000;0.3550000;3.0000000;5.0000000;2.0000000;10.0000000;14.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7230000;2.3950000;-2.7230000;0.6050000;3.0000000;7.0000000;1.0000000;9.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7610000;2.3950000;-2.7610000;0.6050000;3.0000000;7.0000000;1.0000000;10.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7230000;2.3940000;-2.7230000;0.6060000;3.0000000;7.0000000;1.0000000;10.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7070000;2.3930000;-2.7070000;0.6070000;3.0000000;7.0000000;1.0000000;9.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;5.0000000;3.0000000;5.7700000;2.3940000;-2.7700000;0.6060000;3.0000000;7.0000000;1.0000000;10.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7220000;2.3940000;-2.7220000;0.6060000;3.0000000;7.0000000;1.0000000;9.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7220000;2.3940000;-2.7220000;0.6060000;3.0000000;7.0000000;1.0000000;9.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7200000;2.3960000;-2.7200000;0.6040000;3.0000000;7.0000000;1.0000000;10.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;5.0000000;3.0000000;5.7240000;2.3940000;-2.7240000;0.6060000;3.0000000;7.0000000;1.0000000;9.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7200000;2.3960000;-2.7200000;0.6040000;3.0000000;7.0000000;1.0000000;9.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7230000;2.3930000;-2.7230000;0.6070000;3.0000000;7.0000000;1.0000000;9.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7240000;2.3900000;-2.7240000;0.6100000;3.0000000;7.0000000;1.0000000;10.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7240000;2.3900000;-2.7240000;0.6100000;3.0000000;7.0000000;1.0000000;10.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7060000;2.3910000;-2.7060000;0.6100000;3.0000000;7.0000000;1.0000000;10.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7350000;2.3760000;-2.7350000;0.6250000;3.0000000;7.0000000;1.0000000;9.0000000;15.0000000;3.0000000
2.0000000;5.0000000;3.0000000;17.0000000;0.0000000;4.0000000;3.0000000;5.7700000;2.3900000;-2.7700000;0.6100000;3.0000000;7.0000000;1.0000000;10.0000000;15.0000000;3.0000000
