Clique number;Diameter;Edge connectivity;Matching number;Planar ;Radius;Vertex connectivity;Largest L-eigenvalue ;Second largest Eigenvalue;Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Group Size;Domination number;Independence number;Chromatic index
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.70100000;2.45800000;-2.70100000;0.54200000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.69700000;2.45800000;-2.69700000;0.54200000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.69900000;2.45300000;-2.69900000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.69900000;2.45300000;-2.69900000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.71600000;2.45800000;-2.71600000;0.54200000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.71400000;2.45800000;-2.71400000;0.54200000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.75700000;2.45800000;-2.75700000;0.54200000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.72700000;2.29100000;-2.72700000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.72600000;2.91200000;-2.72600000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.73000000;2.45300000;-2.73000000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72800000;2.45400000;-2.72800000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.69600000;2.45800000;-2.69600000;0.54200000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.75400000;2.45800000;-2.75400000;0.54200000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.69600000;2.28000000;-2.69600000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.69600000;2.45200000;-2.69600000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.72700000;2.45300000;-2.72700000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72700000;2.45400000;-2.72700000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72800000;2.45400000;-2.72800000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.73000000;2.45400000;-2.73000000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.71200000;2.45800000;-2.71200000;0.54200000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.77500000;2.45800000;-2.77500000;0.54200000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.77500000;2.45800000;-2.77500000;0.54200000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.70100000;2.45900000;-2.70100000;0.54100000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.70300000;2.45400000;-2.70300000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.70400000;2.45400000;-2.70400000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.69700000;2.45900000;-2.69700000;0.54100000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72300000;2.45900000;-2.72300000;0.54100000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.71900000;2.45900000;-2.71900000;0.54100000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.72800000;2.45300000;-2.72800000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.72500000;2.45300000;-2.72500000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.72600000;2.45300000;-2.72600000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.72800000;2.45400000;-2.72800000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.70600000;2.45200000;-2.70600000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.71000000;2.45200000;-2.71000000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.70100000;2.45300000;-2.70100000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.69600000;2.45200000;-2.69600000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.69600000;2.45200000;-2.69600000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72200000;2.45400000;-2.72200000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.71400000;2.45400000;-2.71400000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.69800000;2.45300000;-2.69800000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.69500000;2.45200000;-2.69500000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.69500000;2.45200000;-2.69500000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.71200000;2.45300000;-2.71200000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.76300000;2.45200000;-2.76300000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.76200000;2.45200000;-2.76200000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.74700000;2.45500000;-2.74700000;0.54500000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.75400000;2.45200000;-2.75400000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.77600000;2.45200000;-2.77600000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.73500000;2.45400000;-2.73500000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.78400000;2.45400000;-2.78400000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72900000;2.44900000;-2.72900000;0.55100000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.73400000;2.44900000;-2.72340000;0.55100000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.73100000;2.45000000;-2.73100000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72700000;2.45000000;-2.72700000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.75700000;2.45300000;-2.75100000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.73400000;2.45000000;-2.73400000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72900000;2.27800000;-2.72900000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72600000;2.45000000;-2.72600000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72800000;2.45000000;-2.72800000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.73900000;2.43700000;-2.73900000;0.56300000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.75900000;2.43400000;-2.75900000;0.56600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.73700000;2.45400000;-2.73700000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.75700000;2.45000000;-2.75700000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.77600000;2.45000000;-2.77600000;0.55000000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.75800000;2.43700000;-2.75800000;0.56300000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.74000000;2.43700000;-2.74000000;0.56300000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.70200000;2.45400000;-2.70200000;0.54600000;3.00000000;7.00000000;1.00000000;10.00000000;15.00000000;3.00000000
